index,question,answer
204,What did LeBron James accomplish in Game 3 of the first playoff round against the Pacers?,"He led the Cavaliers to a historic comeback, overcoming a 25-point halftime deficit."
205,What milestone did LeBron James reach in the Eastern Conference Finals against the Celtics?,He surpassed Michael Jordan as the all-time leader in playoff scoring. 
206,Why did Kyrie Irving request a trade from the Cavaliers before the 2017-18 season?,Kyrie Irving requested a trade in part because he no longer wanted to play with LeBron James.
207,How did the Cavaliers perform in December of the 2017-18 season?,"After a slow start to the year, Cleveland won 18 of 19 games in December."
208,What was significant about LeBron James' performance against the Wizards on November 3?,"LeBron James scored 57 points against the Wizards, which was the second-highest point total of his career and tied a franchise record."
209,How did the Cavaliers fare in January of the 2017-18 season?,"In January, the Cavaliers had a losing record and James was criticized for his lackluster effort."
210,What achievement did LeBron James earn at the All-Star Game during the 2017-18 season?,"LeBron James won his third All-Star Game MVP Award, after posting 29 points, 10 rebounds, and 8 assists."
211,What was the outcome of the February trades for the Cavaliers during the 2017-18 season?,"Following another round of trades in February, Cleveland returned to form."
212,What record did LeBron James set on March 30 during the 2017-18 season?,LeBron James set an NBA record with 867 straight games scoring in double digits.
213,What were LeBron James' final season averages for the 2017-18 NBA season?,"James finished the season with averages of 27.5 points, 8.6 rebounds, 9.2 assists, and 4.2 turnovers per game."
214,Did LeBron James face any personal challenges during the season?,"James faced criticisms regarding his leadership and effort, particularly during January."
215,Who did the Cavaliers face in the Finals during the playoffs?,"In the playoffs, James guided the Cavaliers to another Finals rematch with the Warriors."
216,What was notable about LeBron James' performance in the first game of the Finals?,"In the first game of the Finals, James scored a playoff career-high 51 points, but Cleveland was defeated in overtime."
217,How did LeBron James sustain an injury during the Finals?,"Following the defeat in the first game, James injured his hand after punching a wall in the locker room, which hindered his effectiveness for the remainder of the series."
218,What was the outcome of the series for the Cavaliers?,"The Cavaliers lost the series in four games, with James averaging 34 points, 8.5 rebounds, and 10 assists per game for the Finals."
219,What happened during LeBron James' game against the Pacers in the playoffs?,"Along the way, James had some of the most memorable moments of his career, including a game-winning shot against the Pacers."
220,What was another significant play by LeBron James in the playoffs before reaching the Finals?,James also made a game-winning shot against the Raptors during the playoffs.
221,What were LeBron James' average statistics for the Finals?,"For the Finals, James averaged 34 points, 8.5 rebounds, and 10 assists per game."
222,How did the first game of the Finals conclude?,"The first game of the Finals went into overtime, where Cleveland was ultimately defeated despite James' high scoring."
223,What did LeBron James do after losing the first game of the Finals?,"After losing the first game, LeBron James injured his hand by punching a wall out of frustration."
224,When did LeBron James opt out of his contract with the Cavaliers to become an unrestricted free agent in 2018?,"LeBron James opted out of his contract with the Cavaliers and became an unrestricted free agent on June 29, 2018."
225,When was LeBron James' move to the Los Angeles Lakers announced by his management company?,"LeBron James' move to the Los Angeles Lakers was announced by his management company, Klutch Sports, on July 1, 2018."
226,When was LeBron James' deal with the Los Angeles Lakers officially completed?,"The deal with the Los Angeles Lakers was officially completed on July 9, 2018."
227,What reason did LeBron James' agent give for his move to the Lakers in 2018?,"According to his agent, Rich Paul, in 2018 it was just about doing what LeBron wants to do."
228,How was the reaction to LeBron James' move to the Lakers compared to his original departure from the Cavaliers?,"Reaction to LeBron James' move to the Lakers was more positive than his original departure from the Cavaliers, albeit still mixed."
229,What did some onlookers think about LeBron James' choice of Los Angeles as his destination?,Some onlookers felt that Los Angeles was not the optimal destination for LeBron James.
230,How did LeBron James describe his reason for moving teams throughout his career?,"LeBron's movements were described as first about championships in Miami, then delivering a promise in Cleveland, and finally about doing what he wants in Los Angeles."
231,Who announced LeBron James' decision to join the Lakers?,"LeBron James' decision to join the Lakers was announced by his management company, Klutch Sports."
232,How long had the Lakers missed the playoffs before LeBron James joined them?,The Lakers had missed the playoffs since 2014 before LeBron James joined them.
233,When was the last time the Lakers appeared in the Finals before LeBron James joined?,The Lakers had not appeared in the Finals since 2010 before LeBron James joined them.
234,What was the Lakers' record through the first seven games of the 2018-19 season?,The Lakers recorded only two wins through their first seven games of the 2018-19 season.
235,How did LeBron James perform on November 14 against the Portland Trail Blazers?,"On November 14, LeBron James registered 44 points, 10 rebounds, and nine assists in a victory against the Portland Trail Blazers."
236,"What was LeBron James' season-high score in the 2018-19 season, and against which team did he achieve this?",LeBron James scored a season-high 51 points in a win over the Heat on November 18.
237,What significant event happened in the game against the Warriors on Christmas Day?,"After blowing out the Warriors on Christmas Day, Los Angeles improved their record to 20–14."
238,"What was the first major injury of LeBron James' career, and when did it occur?","LeBron James suffered the first major injury of his career, a groin injury, during the 2018-19 season."
239,How long was LeBron James out due to his groin injury?,LeBron James missed a then career-high 17 consecutive games due to his groin injury.
240,What was the Lakers' decision regarding LeBron James in March?,"In March, the Lakers announced that James would begin a minutes restriction."
241,What were LeBron James' final averages for the 2018-19 NBA season?,"James's final averages were 27.4 points, 8.5 rebounds, and 8.3 assists per game."
242,Who did the Lakers hire as their new head coach before the 2019-20 season?,The Lakers hired Frank Vogel as their new head coach before the 2019-20 season.
243,For which player did the Lakers trade the majority of their young core to the Pelicans?,The Lakers traded the majority of their young core to the Pelicans for superstar big man Anthony Davis.
244,What role did LeBron James assume for the Lakers during the 2019-20 season?,"LeBron James embraced his role by transforming his playing style, moving to full-time point guard, and competing with a more consistent defensive effort."
245,What was the Lakers' record after the first 19 games of the 2019-20 season?,"Behind James's leadership, the Lakers opened the 2019-20 season with a 17-2 record, matching the best start in franchise history."
246,Who did LeBron James pass on the all-time regular season scoring list on January 25?,"On January 25, James passed team legend Kobe Bryant for third on the all-time regular season scoring list."
247,What tragic event occurred the day after LeBron James passed Kobe Bryant on the scoring list?,"The day after LeBron passed Kobe on the scoring list, Kobe Bryant died in a helicopter crash."
248,What teams did LeBron lead the Lakers to victory against in early March?,"In early March, James led the Lakers to a victory over the Bucks in a matchup of conference leaders, followed by a streak-breaking win against the Clippers."
249,What was LeBron James' notable statistical achievement at the end of the regular season?,"James ended the regular season as the league leader in assists for the first time in his career, averaging 10.2 assists per game."
250,What was LeBron James' notable statistical achievement at the end of the regular season?,"James ended the regular season as the league leader in rebounds for the first time in his career, averaging 12
1,Who did the Lakers hire as their new head coach before the 2019-20 season?,The Lakers hired Frank Vogel as their new head coach before the 2019-20 season."""
251,For which player did the Lakers trade the majority of their young core to the Pelicans?,The Lakers traded the majority of their young core to the Pelicans for superstar big man Anthony Davis.
252,What role did LeBron James assume for the Lakers during the 2019-20 season?,"LeBron James embraced his role by transforming his playing style, moving to full-time point guard, and competing with a more consistent defensive effort."
253,What was the Lakers' record after the first 19 games of the 2019-20 season?,"Behind James's leadership, the Lakers opened the 2019-20 season with a 17-2 record, matching the best start in franchise history."
254,Who did LeBron James pass on the all-time regular season scoring list on January 25?,"On January 25, James passed team legend Kobe Bryant for third on the all-time regular season scoring list."
255,What tragic event occurred the day after LeBron James passed Kobe Bryant on the scoring list?,"The day after LeBron passed Kobe on the scoring list, Kobe Bryant died in a helicopter crash."
256,What teams did LeBron lead the Lakers to victory against in early March?,"In early March, James led the Lakers to a victory over the Bucks in a matchup of conference leaders, followed by a streak-breaking win against the Clippers."
257,What was LeBron James' notable statistical achievement at the end of the regular season?,"James ended the regular season as the league leader in assists for the first time in his career, averaging 10.2 assists per game."
258,How many All-NBA Team selections has LeBron James earned by the end of the 2019-20 season?,James earned a record 16th All-NBA Team selection as part of the First Team.
259,What seed were the Lakers in the Western Conference during the playoffs?,The Lakers entered the playoffs as the number one seed in the West.
260,How many games did the Lakers lose on their way to the Finals?,The Lakers advanced to the Finals with only three total losses along the way.
261,How many points did LeBron James score in Game 5 of the conference finals against the Nuggets?,LeBron James helped clinch the conference championship by scoring a game-high 38 points in Game 5 against the Nuggets.
262,Who did the Lakers face in the Finals?,"In the Finals, the Lakers were matched up with LeBron James' former team, the Miami Heat."
263,What was the result of Game 5 in the Finals against the Heat?,"In Game 5, the Lakers were defeated in a three-point game despite LeBron James scoring 40 points."
264,What were LeBron James' average statistics during the Finals series?,"James averaged 29.8 points, 11.8 rebounds, and 8.5 assists per game during the series."
265,How many NBA championships had LeBron James won after the 2020 Finals?,"After the 2020 Finals, LeBron James had won his fourth NBA championship."
266,What unique record did LeBron James set by winning the Finals MVP award?,LeBron James became the only player in NBA history to win the Finals MVP award with three different franchises.
267,How old was LeBron James when he won his fourth Finals MVP award?,"At 35 years and 287 days old, he became the second-oldest player in league history to win the award."
268,Which other Lakers player also won championships with three different teams?,"Danny Green, a teammate of LeBron James, also became one of the players in NBA history to win at least one championship with three different teams."
269,When did the 2020-2021 NBA season start?,"The 2020–2021 season started on December 22, 2020."
270,How many games were scheduled for each team in the 2020-2021 season?,The season was reduced to 72 games for each team due to the COVID-19 pandemic.
271,What was the result of the Lakers' first game of the 2020-2021 season?,The Lakers lost their first game of the season 116–109 to the Clippers.
272,"What record did LeBron James set on December 31, 2020?","On December 31, 2020, James became the first player in NBA history to score 10 points or more in 1,000 consecutive games."
273,"Who are the other NBA players that LeBron James joined in the 35,000 career points club?","James joined Kareem Abdul-Jabbar and Karl Malone as the only players with 35,000 career points."
274,"How old was LeBron James when he reached the 35,000 career points milestone?","He was 36 years and 50 days old, making him the youngest to reach the milestone."
275,What injury did LeBron James suffer in March 2021?,"James sprained his ankle in a game against the Hawks on March 20, 2021."
276,How many games did LeBron James miss due to his ankle injury?,"LeBron James missed 20 games due to his ankle injury, marking the longest absence of his career."
277,What was the Lakers' rank in the Western Conference by March 2021?,"By March, the Lakers were No. 2, two games behind the Jazz."
278,What impact did the injuries to Davis and James have on the Lakers' season performance?,"Without Davis and James, the Lakers went 14–16 and 6–10 respectively, falling to No. 5 in the rankings."
279,How many games did LeBron James play in the 2020-2021 NBA season?,LeBron James played in 45 out of 72 games during the 2020-2021 NBA season.
280,What were LeBron James' scoring averages for the 2020-2021 season?,"James finished the season with averages of 25.0 points, 7.7 rebounds, and 7.8 assists on 51.3 percent shooting."
281,What NBA record did LeBron James extend in the 2020-2021 season?,"LeBron James extended his record to 17 consecutive seasons averaging at least 25 points per game, the most in NBA history."
282,How did the Lakers finish the regular season in terms of ranking?,"The Lakers ended with a 42–30 record, finishing No. 7 due to tiebreakers."
283,Who did the Lakers face in the play-in tournament?,The Lakers faced the No. 8-seed Warriors in the play-in tournament.
284,What was the outcome of the Lakers vs. Warriors play-in game?,The Lakers won 103–100 after James scored the go-ahead three-point shot in the final minute.
285,What significant shot did LeBron James make in the play-in game against the Warriors?,His 34-foot shot over Stephen Curry before the shot clock buzzer was his longest basket of the season.
286,What were James' statistics in the play-in game against the Warriors?,"James posted a triple-double with 22 points, 11 rebounds, and 10 assists, along with 2 steals and 1 block."
287,Who did the Lakers face in the first round of the playoffs?,The Lakers faced the No. 2 seeded Suns in the first round of the playoffs.
288,What was notable about LeBron James' situation in the first round against the Suns?,This was the first time in LeBron James's career that he did not have home court advantage in the opening series.
289,What was the Lakers' series lead before Anthony Davis's injury?,The Lakers were up 2–1 in the series before Davis suffered a strained groin in Game 4.
290,What were LeBron James' stats in Game 4 against the Suns?,"In Game 4, James finished with a game-high 25 points on 10-for-21 shooting, 12 rebounds, and 6 assists."
291,What was the outcome of the series against the Suns?,"The Lakers lost to the Suns in six games, marking the first time James lost in the first round in his career."
292,What was LeBron James' scoring average in the series against the Suns?,"James finished the series averaging 23.3 points, his fourth-lowest scoring output for a series over his career."
293,How many times has LeBron James been selected to the All-NBA Team?,"LeBron made his 17th consecutive All-NBA Team selection, extending the record for most selections in NBA history."
294,To which All-NBA Team was LeBron James named for the 2020-2021 season?,He was named to the All-NBA Second Team for the third time.
295,Who joined LeBron James on the Lakers for the 2021-22 season?,Carmelo Anthony and Russell Westbrook joined LeBron James on the Lakers for the 2021-22 season.
296,What happened to LeBron James in the game against the Pistons on November 21?,LeBron James was ejected in the third quarter after getting into a scuffle with Isaiah Stewart during the game.
297,How many times has LeBron James been ejected from a game in his career?,"As of the 2021-22 season, LeBron James has been ejected from a game twice in his career."
298,What was the consequence of LeBron James' ejection against the Pistons?,LeBron James was suspended for one game due to his actions during the scuffle with Isaiah Stewart.
299,What was LeBron James' average statistics in the next 16 games following his suspension?,"James averaged 30.4 points, 8.9 rebounds, 6.3 assists, 1.6 steals, and 1.4 blocks on 54 percent shooting in his next 16 games."
300,What milestone did LeBron James achieve during this period?,LeBron James achieved his 100th triple-double during this period.
301,Which NBA scoring milestone did LeBron James surpass?,"LeBron James became the third player in NBA history to surpass 36,000 career points."
302,How much time did LeBron James spend playing as a center during this period?,"During this period, he played 35 percent of his minutes at center."
303,"How long was LeBron James' streak of consecutive 25-point games from December 19 to February 26, 2022?","From December 19 to February 26, 2022, LeBron James had a streak of 23 consecutive 25-point games."
304,Who was the first NBA player to post 40 points and zero turnovers at age 35 or older before LeBron James?,Michael Jordan was the first NBA player to post 40 points and zero turnovers at age 35 or older before LeBron James.
305,"What was LeBron James' average points per game in January, meeting the minimum criteria for scoring leaders?","In January, LeBron James averaged 28.6 points per game, meeting the minimum criteria for scoring leaders."
306,How old was LeBron James when he first averaged 25+ points per game in an NBA season?,LeBron James was 20 years old when he first averaged 27.6 points per game in his sophomore season.
307,At what age did LeBron James become the oldest player to score at least 25 points in ten straight games?,LeBron James became the oldest player to do so at 37 years old.
308,What milestone did LeBron James reach by January 20 regarding career points and rebounds?,"By January 20, LeBron James became the fifth player in NBA history to record at least 30,000 career points and 10,000 career rebounds."
309,What all-time NBA record did LeBron James surpass in February regarding points scored?,"In February, LeBron James surpassed Kareem Abdul-Jabbar for the most points scored in both the regular season and playoffs."
310,What significant achievement did LeBron James reach in the 2022 NBA All-Star Game?,"James led all players in fan votes with his 18th All-Star selection, tying Bryant and just one behind Abdul-Jabbar."
311,What was the outcome of the 2022 NBA All-Star Game?,"James' team achieved its fifth consecutive All-Star win, defeating Team Durant 163–161."
312,How many 50-point games did LeBron James record in March?,"LeBron James recorded two 50-point games in March, which were also his Lakers' career-high."
313,What record did LeBron James set with his 50-point games?,James became the oldest player to have multiple 50-point games in a season and the first Lakers player since Kobe Bryant in 2008 to have back-to-back 50-point home games.
314,How many career 50-point games has LeBron James scored including the postseason?,"Including the postseason, LeBron James has scored 15 career 50-point games."
315,What milestone did LeBron James reach in terms of assists?,"LeBron James recorded his 10,000th career assist, becoming the only player in NBA history to record at least 10,000 points, 10,000 rebounds, and 10,000 assists."
316,"When did LeBron James become the second player in NBA history to score 37,000 points?","LeBron became just the second player in NBA history to score 37,000 points on March 27."
317,What impact did an ankle injury have on LeBron James in late March?,"Due to an ankle injury in late March, James missed out on a close three-players run for the NBA scoring title."
318,How many games did LeBron James play in the season due to his injuries?,"LeBron James played 56 games in the season, two less than necessary to qualify for the scoring title."
319,What was the Lakers' fate in the 2022 NBA season?,"On April 5, the Lakers were eliminated from both playoff and play-in contention for the first time since 2019."
320,What was LeBron James named to at the end of the season?,"On May 24, he was named to the All-NBA Third Team for the second time; it was his 18th consecutive All-NBA Team selection."
321,When did LeBron James re-sign with the Los Angeles Lakers?,"LeBron James re-signed with the Los Angeles Lakers on August 18, 2022."
322,How much was LeBron James' contract extension worth?,LeBron James' contract extension was worth $97.1 million over two years.
323,What record did LeBron James set with his new contract?,The contract extension made James the highest-paid athlete in NBA history with $528.9 million in total earnings.
324,What milestone did LeBron James reach on October 20?,"On October 20, James made his 2,144th three-pointer, surpassing Paul Pierce for tenth in total NBA career three-pointers made."
325,What significant game milestone did LeBron James achieve on October 28?,"James posted 28 points in a loss to the Timberwolves, recording his 1,135th career 20-point game, passing Karl Malone for the most such games in NBA history."
326,What milestone did LeBron James reach on December 2?,"In a win against the Bucks, James recorded his 10,142nd assist, surpassing Magic Johnson for sixth place on the NBA all-time career assists list."
327,What record did LeBron James set on December 13?,"James scored 33 points against the Celtics, surpassing Wilt Chamberlain for the second-most 30-point games in NBA history with 516 such games."
328,What NBA history ranking did LeBron James achieve on December 28?,"On December 28, James played in his 1,393rd game, breaking a tie with Tim Duncan for 10th-most in NBA history."
329,What was James' performance on his 38th birthday?,"On his 38th birthday, James had a season-high 47 points, 10 rebounds, and 9 assists in a victory over the Hawks."
330,"What was LeBron James' performance on January 2, 2023, against the Charlotte Hornets?","On January 2, 2023, James recorded 43 points, 11 rebounds, and 6 assists in a 121–115 win over the Charlotte Hornets."
331,Which record did LeBron James join Michael Jordan in achieving in early January 2023?,James joined Michael Jordan as the only two players with back-to-back 40-point games at 38 years of age or older.
332,"How many player-of-the-week awards had LeBron James received by January 9, 2023?","By January 9, 2023, James received his 66th player-of-the-week award."
333,"What milestone did LeBron James reach on January 13, 2023?","On January 13, 2023, James became the second player in NBA history to reach 38,000 points."
334,"What was LeBron James' performance on January 16, 2023, against the Houston Rockets?","James had a season-high 48 points, eight rebounds, and nine assists in a 140–132 win over the Houston Rockets."
335,"What unique record did LeBron James set on January 23, 2023?","On January 23, 2023, he scored 46 points, including a career-high nine 3-pointers, becoming the first player in NBA history to score at least 40 points in a game against all NBA franchises."
336,What record did LeBron James tie at the 2023 NBA All-Star Game?,"James was named as a starter at the 2023 NBA All-Star Game, tying Kareem Abdul-Jabbar's record for the most All-Star selections (19)."
337,"What triple-double milestone did LeBron James achieve on January 31, 2023?","On January 31, James put up a triple-double with 28 points, 10 rebounds, and 11 assists, becoming the first player in NBA history to put up a triple-double in his 20th season."
338,When did LeBron James become the all-time leading scorer in NBA history?,"LeBron James became the all-time leading scorer in NBA history on February 7, 2023."
339,Who did LeBron James surpass to become the all-time leading scorer?,LeBron James surpassed Kareem Abdul-Jabbar to become the all-time leading scorer.
340,When had Kareem Abdul-Jabbar set the previous scoring record?,"Kareem Abdul-Jabbar had set the previous scoring record on April 5, 1984."
341,What happened immediately after LeBron James broke the scoring record?,The NBA stopped the game with 10.9 seconds left in the third quarter for an on-court ceremony after James broke the record.
342,Who presented LeBron James with the game ball during the ceremony?,Kareem Abdul-Jabbar presented LeBron James with the game ball during the ceremony.
343,Why did LeBron James miss the following three games after breaking the record?,LeBron James missed the following three games due to left ankle soreness.
344,What was the outcome of the 2023 NBA All-Star Game for Team LeBron?,Team LeBron lost the 2023 NBA All-Star Game 184–175 to Team Giannis.
345,What injury did LeBron James suffer during the 2023 NBA All-Star Game?,"During the game, LeBron James suffered a right hand contusion and was ruled out for the entire second half."
346,What type of injury did LeBron James sustain on February 26 during a game against the Dallas Mavericks?,LeBron James sustained a right foot injury during the game.
347,"Despite his injury, how did LeBron James perform against the Mavericks on that day?","Despite the injury, James helped the Lakers pull off a comeback victory, scoring 26 points in 37 minutes."
348,When was James diagnosed with a tendon injury in his right foot?,James was diagnosed with a tendon injury on March 2 and was set to be reevaluated in three weeks.
349,When did LeBron James return to play after his injury?,James made his return on March 26 against the Chicago Bulls.
350,How many career triple-doubles had LeBron James tied with Jason Kidd after his performance on April 2?,LeBron James tied Jason Kidd for fourth place on the all-time career triple-doubles list.
351,What significant milestone did LeBron James achieve in the final game of the regular season?,"James posted 36 points, leading the Lakers to a win and earning the seventh seed in the Western Conference play-in tournament."
352,What unique playoff performance did LeBron James deliver against the Memphis Grizzlies?,"In Game 4, James had 22 points and a playoff career-high 20 rebounds in an overtime win."
353,What record did LeBron James set in the Western Conference semifinals against the Golden State Warriors?,"James won his 41st playoff series, surpassing Derek Fisher for the most all-time playoff series wins in NBA history."
354,How did the Lakers fare in the Western Conference finals against the Denver Nuggets?,The Lakers were swept by the Denver Nuggets.
355,Who was the oldest player in the NBA entering the 2023-24 season?,LeBron James was the oldest player in the league entering the 2023-24 season.
356,How did LeBron James perform in the season opener against the Nuggets?,"In the season opener, James scored 21 points, grabbed eight rebounds, and dished out five assists in a loss to the Nuggets."
357,What record did LeBron James set on November 1 against the Los Angeles Clippers?,"James scored 35 points in an overtime win over the Clippers, marking his 81st 30-point game since turning 35, the most by any player after turning 35 in NBA history."
358,What milestone did LeBron James achieve on November 15 against the Sacramento Kings?,LeBron James logged a triple-double and became the second-oldest player to have recorded a triple-double.
359,What achievements did LeBron James reach in terms of all-time NBA lists on November 15?,"James moved up to the 5th place in all-time triple-doubles and 8th place in all-time three-pointers, passing Jason Kidd and Jason Terry respectively."
360,How did LeBron James perform on November 19 against the Houston Rockets?,James scored a season-high 37 points in a one-point win against the Rockets.
361,What significant career milestones did LeBron James reach on November 19?,"He tied Vince Carter for seventh on the All-Time 3-pointers list with 2,290, and moved past Clyde Drexler for eighth on the all-time steals list with 2,208."
362,What was LeBron James' point total and game result against the Sacramento Kings on November 15?,LeBron James scored 28 points in a 125-110 loss to the Sacramento Kings.
363,What milestone did LeBron James achieve on November 21 against the Utah Jazz?,"On November 21, LeBron James became the first player in NBA history to reach 39,000 career points during a game against the Utah Jazz."
364,What position did LeBron James move to on the all-time three-pointers made list on November 21?,"LeBron James moved to 7th place on the league's all-time three-pointers made list, breaking a tie with Vince Carter."
365,What record did LeBron James break on November 27 against the Philadelphia 76ers?,"LeBron James surpassed Kareem Abdul-Jabbar's record of 66,300 minutes to become the player with the most minutes played in NBA games during the regular season and playoffs."
366,What was notable about the Lakers' loss to the 76ers on November 27?,The Lakers' 44-point loss to the 76ers was the worst loss of LeBron James' career.
367,What achievement did LeBron James earn in the NBA In-Season Tournament on December 9?,"LeBron James and the Lakers won the inaugural NBA In-Season Tournament, and James received the Tournament MVP award."
368,Against which team did the Lakers win the NBA In-Season Tournament?,The Lakers won the NBA In-Season Tournament against the Indiana Pacers.
369,What additional honor did LeBron James receive during the NBA In-Season Tournament?,LeBron James was selected to the All-Tournament team.
370,How did LeBron James' performance contribute to the Lakers' victory in the NBA In-Season Tournament?,LeBron James scored key points and was instrumental in securing the victory for the Lakers in the NBA In-Season Tournament.
371,How many NBA All-Star selections has LeBron James achieved as of 2024?,"As of 2024, LeBron James has been selected for the NBA All-Star Game 20 times, the most in NBA history."
372,"What unique stat line did LeBron James achieve against the Golden State Warriors on January 27, 2024?","LeBron James put up 36 points, 20 rebounds, and 12 assists in a double overtime win against the Warriors."
373,When did LeBron James lead a 21-point fourth-quarter comeback?,"On February 28, 2024, James led a 21-point fourth-quarter comeback against the Los Angeles Clippers."
374,What was LeBron James' scoring achievement in the final quarter against the Clippers?,James outscored the Clippers by himself 19–16 in the final quarter of their matchup.
375,"When did LeBron James become the first player in NBA history to reach 40,000 career points?","LeBron James reached 40,000 career points on March 2, 2024."
376,What was LeBron James' performance on March 16 against the Golden State Warriors?,James scored a season-high 40 points with eight rebounds and nine assists in a loss to the Warriors.
377,What record did LeBron James surpass on March 31 against the Brooklyn Nets?,LeBron James surpassed Michael Jordan for the most 30-point games in NBA history with 672.
378,What was LeBron James' stat line in the season finale on April 14 against the Pelicans?,"In the season finale, James scored 28 points, grabbed 11 rebounds, and distributed 17 assists."
379,In which Olympics did LeBron James make his debut for the United States national team?,"LeBron James made his debut at the 2004 Olympics in Athens, Greece."
380,What was LeBron James' average points per game during the 2004 Olympics?,James averaged 5.8 points per game during the 2004 Olympics.
381,What medal did Team USA win at the 2004 Olympics?,Team USA won the bronze medal at the 2004 Olympics.
382,How did LeBron James feel about his playing time during the 2004 Olympics?,James felt that his limited playing time was a 'lowlight' and that he was not given 'a fair opportunity to play'.
383,What role did LeBron James have in the 2006 FIBA World Championship?,"James took on a greater role as co-captain and averaged 13.9 points, 4.8 rebounds, and 4.1 assists per game."
384,What medal did Team USA win at the 2006 FIBA World Championship?,The team won another bronze medal at the 2006 FIBA World Championship.
385,What ultimatum was given to LeBron James before the 2008 Olympics?,Team USA managing director Jerry Colangelo and coach Mike Krzyzewski gave James an ultimatum to improve his attitude.
386,How did LeBron James perform at the FIBA Americas Championship 2007?,"He averaged 18.1 points, 3.6 rebounds, and 4.7 assists per game, and scored 31 points against Argentina in the championship game."
387,What was the result for Team USA in the 2008 Olympics?,Team USA went unbeaten and won their first gold medal since 2000.
388,Did LeBron James play in the 2010 FIBA World Championship?,James did not play at the 2010 FIBA World Championship.
389,What record did LeBron James achieve during the 2012 Olympics against Australia?,"James recorded the first triple-double in U.S. Olympic basketball history with 11 points, 14 rebounds, and 12 assists."
390,What was the outcome for Team USA in the 2012 Olympics?,"Team USA won their second straight gold medal, again defeating Spain in the final game."
391,What unique achievement did LeBron James earn in the year he won his second Olympic gold medal?,"James joined Michael Jordan as the only players to win an NBA MVP award, NBA championship, NBA Finals MVP, and Olympic gold medal in the same year."
392,What positions has LeBron James primarily played in his NBA career?,LeBron James has primarily played at the small forward and power forward positions.
393,What are LeBron James' career averages up to the 2023–24 season?,"As of the 2023-24 season, LeBron James' career averages are 27.1 points, 7.5 rebounds, 7.4 assists, 1.5 steals, and 0.7 blocks per game."
394,Which NBA team did LeBron James lead in scoring as an 18-year-old rookie?,"As an 18-year-old rookie, LeBron James led the Cavaliers in scoring."
395,What unique scoring distinction does LeBron James hold?,"LeBron James is the youngest player to score 30,000 career points."
396,How was LeBron James primarily used during his first stint in Cleveland?,"During his first stint in Cleveland, LeBron was primarily used as an on-ball point forward."
397,What was a common criticism of LeBron James' game during his early years?,LeBron James was frequently criticized for not having a reliable jump shot or post game.
398,What change did Coach Erik Spoelstra make to LeBron James' role in Miami?,"In Miami, Coach Spoelstra changed LeBron's role to spend more time in the post and improved his shot selection."
399,What was LeBron James' biggest weakness according to ESPN's Tom Haberstroh?,LeBron James' biggest weakness was described as his 'average' free-throw shooting.
400,How did LeBron James' productivity change upon his return to the Cavaliers?,"Upon returning to the Cavaliers, LeBron began to experience subtle age-related declines in productivity."
401,How is LeBron James regarded in terms of his playmaking ability?,LeBron James is generally considered one of the greatest passers in NBA history.
402,What early criticism did LeBron James face regarding his play in clutch situations?,"Early in his career, LeBron James was criticized for overpassing in pressure situations."
403,How has LeBron James's clutch performance been viewed as his career progressed?,"As his career progressed, LeBron James's clutch performance has been viewed more favorably."
404,What significant role change did LeBron James experience in Miami?,"In Miami, LeBron James learned to work as an off-ball cutter in the Heat's 'pass-happy' offense."
405,What was one strategy used by opponents to exploit LeBron James' weaknesses?,Teams gave LeBron space in the half-court and forced him to settle for three-pointers and long two-pointers.
406,What was LeBron James known for in transition play?,LeBron James developed a reputation for grabbing defensive rebounds and then beating the defense downcourt for highlight reel baskets.
407,Was LeBron James initially considered a good defensive player at the start of his NBA career?,"At the beginning of his NBA career, LeBron James was considered a poor defensive player."
408,What defensive technique did LeBron James become proficient in by 2009?,"By 2009, LeBron James had become proficient at the chase-down block."
409,How did LeBron James's defensive role evolve in Miami?,"In Miami, LeBron James developed into a more versatile defensive player, capable of guarding all five positions."
410,What was the defensive strategy used in Miami with LeBron James?,"Miami used an ultra-aggressive defensive scheme with LeBron James, involving him cheating off the ball to help inside or get into rebounding position."
411,Did LeBron James's defensive impact improve continuously throughout his career?,"Starting in 2014, some analysts reported a regression in LeBron James's defensive impact, citing lack of effort and age-related declines."
412,How did LeBron James behave defensively during his second stint in Cleveland?,"During his second stint in Cleveland, LeBron's defense declined; he often dawdled back on defense while complaining to the referees."
413,What term did LeBron James use to describe his approach to taking plays off?,LeBron James referred to his approach of taking plays off as 'chill mode'.
414,"What is Playoff LeBron"" referred to by analysts?""",'Playoff LeBron' refers to LeBron James raising his defensive level during the playoffs.
415,Did LeBron James consistently guard five positions during his entire NBA career?,LeBron James developed the ability to guard all five positions during his time with the Miami Heat.
416,What criticism did LeBron James face during his second stint in Cleveland regarding his defensive effort?,LeBron James was criticized for his reduced help off the ball and less aggressive switching during his second stint in Cleveland.
417,What is LeBron James known for in defensive transitions?,LeBron James is known for his chase-down blocks in defensive transitions.
418,Did LeBron James's defensive strategy involve aggressive off-ball plays?,LeBron James used aggressive off-ball strategies like cheating off to help inside or getting into rebounding positions.
419,How was LeBron James's free-throw shooting described?,LeBron James's free-throw shooting was described as 'average' by ESPN's Tom Haberstroh.
420,What specific defensive role change did LeBron James undergo in Miami?,"In Miami, LeBron James's role changed to include more time in the post and to improve his jump shooting defense."
